ticker	close_price	day_1	day_5	df_size	skew_1	skew_60	skew_120	cutoff_1	cutoff_60	cutoff_120	created_date	longName	industry	sector	url
CLX	148.7100067138672	148.60768275584684	147.2999203991078	1643.0	-1.2293510611997729	-0.392549447542156	0.1206021650682322	16.666666666666664	23.0	9.5	20220528.0	The Clorox Company	Household & Personal Products	Consumer Defensive	https://www.thecloroxcompany.com
CME	199.92999267578125	199.6348407322164	199.81433586634722	1643.0	0.0243247960707003	-0.6178942679896637	-0.136509134262049	18.33333333333333	18.0	5.0	20220528.0	CME Group Inc.	Financial Data & Stock Exchanges	Financial Services	https://www.cmegroup.com
CMS-PB	98.98999786376953	97.66461585941248	97.06315212552069	1643.0	-2.712268200834429	-1.885582048905372	-1.9157620489627936	21.666666666666668	20.5	20.0	20220528.0	Consumers Energy Company	Utilities—Regulated Electric	Utilities	https://www.consumersenergy.com
CMS	71.47000122070312	71.5232077051117	71.32709794615889	1643.0	0.1577132174730641	-0.4032612681120481	0.0379235964784261	6.666666666666667	1.5	0.0	20220528.0	CMS Energy Corporation	Utilities—Regulated Electric	Utilities	https://www.cmsenergy.com
CMA	82.83000183105469	82.77896021085866	82.78105944186515	1643.0	0.0735696304856149	-0.8126920369216909	-0.4070407783940025	8.333333333333332	0.0	0.0	20220528.0	Comerica Incorporated	Banks—Regional	Financial Services	https://www.comerica.com
CAG	33.150001525878906	e	r	1643.0	-2.126508925619571	0.0427020657158043	-0.0770166699413631	5.0	0.0	0.0	20220528.0	Conagra Brands, Inc.	Packaged Foods	Consumer Defensive	https://www.conagrabrands.com
ED	100.58000183105469	100.51022231269711	100.04723808332797	1643.0	-0.1775636238759946	-0.0063717682275923	-0.1909998664776435	5.0	9.0	16.5	20220528.0	Consolidated Edison, Inc.	Utilities—Regulated Electric	Utilities	https://www.conedison.com
STZ	246.30999755859375	246.2590314437504	245.2236659737368	1643.0	-0.3968719700465281	0.0175711252327185	-0.1689609105864802	6.666666666666667	0.0	0.0	20220528.0	Constellation Brands, Inc.	Beverages—Wineries & Distilleries	Consumer Defensive	https://www.cbrands.com
COO	352.1700134277344	351.8621452590753	351.16638582465544	1643.0	-0.6079124433805065	-0.2262069051531104	-0.4264285147488375	25.0	11.0	7.000000000000001	20220528.0	The Cooper Companies, Inc.	Medical Instruments & Supplies	Healthcare	https://www.coopercos.com
CPRT	116.69000244140625	116.6884423676982	116.68844289432997	1643.0	-0.2251186896160708	-0.2341985604236837	-0.2779709917981842	25.0	24.0	31.0	20220528.0	Copart, Inc.	Specialty Business Services	Industrials	https://www.copart.com
